,"(0, 0, 0, 0)","(0, 0, 0, 1)","(0, 0, 1, 0)","(0, 0, 1, 1)","(0, 1, 0, 0)","(0, 1, 0, 1)","(0, 1, 1, 0)","(0, 1, 1, 1)","(1, 0, 0, 0)","(1, 0, 0, 1)","(1, 0, 1, 0)","(1, 0, 1, 1)","(1, 1, 0, 0)","(1, 1, 0, 1)","(1, 1, 1, 0)","(1, 1, 1, 1)"
"('3', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '54')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('54', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '214')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('214', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '28')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('28', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '286')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('286', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '300')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('300', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '348')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('348', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '349')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('349', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '178')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('178', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('3', '8283')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('8283', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('3', '108')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('108', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('3', '567')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('567', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('3', '152')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('152', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '182')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('182', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '581')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('581', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('3', '371')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('371', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '584')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('584', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('3', '586')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
