	positive_in_degree	positive_out_degree	negative_in_degree	negative_out_degree
0	199	24	29	5
1	95	71	21	24
2	20	0	0	0
3	48	11	5	0
4	109	1	15	0
5	33	74	1	5
6	8	17	0	0
7	47	21	58	8
8	481	102	118	83
9	151	38	9	1
10	16	15	0	0
11	85	329	1	1
12	4	0	2	0
13	18	15	38	0
14	20	60	4	13
15	99	2	1	0
16	33	142	1	15
17	547	23	43	0
18	6	15	1	0
19	9	28	0	1
20	3	0	2	0
21	47	18	39	34
22	175	3	1	0
23	14	1	0	0
24	40	2	5	1
25	25	29	9	56
26	1	0	3	2
27	13	0	47	0
28	14	0	31	1
29	43	69	31	0
31	831	0	14	0
41	1708	0	19	0
52	404	17	32	0
98	211	81	9	0
118	15	16	0	3
170	531	201	164	0
530	599	365	121	1
613	2	3	0	0
614	42	135	22	67
615	11	17	1	0
616	136	184	18	3
617	10	2	3	9
618	25	29	16	0
619	11	9	7	2
620	171	51	21	29
621	130	1	29	0
622	56	84	33	44
623	89	0	37	0
624	150	156	9	0
625	19	100	22	100
626	302	0	3	4
627	26	180	10	40
628	7	4	0	0
629	436	31	125	0
630	173	42	52	6
631	22	5	1	0
632	154	0	0	0
633	263	34	19	0
634	50	13	15	22
635	49	7	8	0
636	2260	0	30	0
637	8	0	3	0
638	105	0	10	0
639	116	114	16	28
640	183	70	28	2
641	409	200	27	0
642	136	60	7	40
643	31	0	2	0
644	18	0	0	0
645	9	0	6	0
646	6	0	1	2
647	20	0	5	0
648	7	11	3	1
649	91	8	3	1
650	13	91	2	40
651	190	7	14	0
652	7	1	1	0
653	56	139	14	100
654	20	73	0	3
655	10	9	4	5
656	6	13	1	3
657	304	109	13	0
658	346	3	23	5
659	2	2	1	0
660	1218	0	52	0
661	382	3	45	1
662	348	369	57	0
663	141	47	49	1
664	51	15	23	8
665	130	43	34	9
666	8	1	2	2
667	58	402	7	1
668	81	130	62	69
669	11	21	2	3
670	137	1	4	0
671	5	5	3	3
672	276	50	46	8
673	117	61	15	39
674	42	4	2	0
675	18	22	13	15
676	1	9	1	0
677	15	2	1	0
678	182	98	277	103
679	200	9	157	0
680	8	0	7	0
681	6	0	5	0
682	22	0	18	0
683	96	0	120	0
684	2	7	1	2
685	42	0	49	1
686	95	158	209	33
687	1	0	1	0
688	0	0	2	0
689	12	29	7	1
690	14	4	21	0
691	5	7	7	2
692	11	4	36	1
693	3	0	1	0
694	1	0	2	0
695	15	5	14	3
696	0	1	1	0
697	46	6	52	0
47	2212	14	132	0
48	62	4	11	0
55	551	32	49	2
114	17	2	1	0
698	36	17	3	6
699	117	0	1	1
700	1	0	0	0
33	1050	0	0	0
58	593	24	22	0
59	127	0	232	0
80	2512	14	31	0
111	94	0	1	0
172	661	0	24	1
191	1583	400	8	0
701	218	0	12	0
702	79	0	2	0
703	280	6	52	2
704	36	0	0	0
705	5	1	0	0
706	35	0	0	0
707	75	0	1	0
708	7	2	0	0
709	6	0	0	1
710	1	0	0	0
711	32	6	8	0
712	16	1	0	0
713	27	0	0	0
714	57	6	1	2
715	19	0	0	0
716	22	8	0	0
717	146	191	20	2
718	163	0	5	0
719	62	43	1	0
720	18	0	0	0
721	12	4	0	2
722	16	0	0	0
723	117	0	0	0
