	(0, 0, 0, 0)	(0, 0, 0, 1)	(0, 0, 1, 0)	(0, 0, 1, 1)	(0, 1, 0, 0)	(0, 1, 0, 1)	(0, 1, 1, 0)	(0, 1, 1, 1)	(1, 0, 0, 0)	(1, 0, 0, 1)	(1, 0, 1, 0)	(1, 0, 1, 1)	(1, 1, 0, 0)	(1, 1, 0, 1)	(1, 1, 1, 0)	(1, 1, 1, 1)	edge_sign
(6, 8)	59	0	6	0	0	0	0	0	3	0	2	0	0	0	0	0	0
(8, 6)	59	0	3	0	0	0	0	0	6	0	2	0	0	0	0	0	0
(6, 9)	34	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
(9, 6)	34	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(6, 10)	24	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1
(10, 6)	24	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1
(6, 11)	82	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
(11, 6)	82	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(6, 14)	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
(14, 6)	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(6, 20)	36	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
(20, 6)	36	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(6, 24)	24	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
(24, 6)	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(6, 26)	40	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
(26, 6)	40	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(6, 28)	32	0	9	0	0	0	0	0	2	0	5	0	0	0	0	0	1
(28, 6)	32	0	2	0	0	0	0	0	9	0	5	0	0	0	0	0	0
(6, 29)	26	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	1
(29, 6)	26	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0
(6, 35)	26	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	1
(35, 6)	26	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	0
(6, 36)	29	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(36, 6)	29	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
(6, 39)	21	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0
(39, 6)	21	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0
(6, 42)	23	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
(42, 6)	23	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(6, 72)	24	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
(72, 6)	24	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
(6, 80)	21	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(80, 6)	21	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
(6, 86)	19	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(86, 6)	19	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
(6, 173)	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(173, 6)	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(6, 271)	0	0	23	0	0	0	0	0	0	0	5	0	0	0	0	0	1
(271, 6)	0	0	0	0	0	0	0	0	23	0	5	0	0	0	0	0	0
(6, 306)	34	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1
(306, 6)	34	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
(6, 308)	23	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
