FromNodeId	ToNodeId	Sign
3	30	1
3	54	1
3	214	1
3	28	1
3	286	1
3	300	1
3	348	1
3	349	1
3	178	1
3	8283	1
3	108	1
3	567	1
3	152	1
3	182	1
3	581	1
3	371	1
3	584	1
3	586	1
3	590	1
3	39	1
3	604	1
3	611	1
3	271	1
25	30	-1
25	54	1
25	6	-1
25	8	-1
25	33	1
25	50	1
25	127	-1
25	23	1
25	154	-1
25	214	-1
25	28	1
25	252	1
25	257	-1
25	261	-1
25	271	1
25	273	-1
25	19	-1
25	286	-1
25	299	1
25	300	-1
25	3	-1
25	302	-1
25	322	-1
25	80	1
25	94	-1
25	348	1
25	349	-1
25	356	1
25	358	-1
25	339	1
25	363	1
25	370	1
25	373	1
25	377	1
25	379	1
25	415	-1
25	226	1
25	422	1
25	428	-1
25	8282	1
25	192	-1
25	8284	-1
25	514	-1
25	75	1
25	55	1
25	560	1
25	282	-1
25	152	1
25	182	1
25	371	1
25	590	1
25	592	1
25	604	1
25	280	1
25	611	-1
25	224	1
25	645	-1
25	650	1
25	255	1
25	664	-1
25	667	1
25	675	1
25	310	1
25	306	1
25	325	1
25	739	1
25	246	1
25	756	-1
25	706	1
25	600	1
25	549	1
25	407	1
25	723	1
25	673	1
25	659	1
25	308	1
25	864	1
25	488	1
25	893	-1
25	439	1
25	86	1
25	29	1
25	696	1
25	1131	1
25	994	1
25	545	1
25	35	1
25	3755	-1
25	959	-1
4	30	1
4	38	1
4	8	-1
4	10	-1
4	130	1
4	147	1
4	214	-1
4	299	-1
4	363	1
4	370	1
4	243	1
4	415	-1
4	140	-1
4	341	-1
4	232	-1
4	8282	-1
4	75	-1
4	55	-1
4	560	1
4	282	-1
4	152	-1
4	56	-1
4	151	-1
4	606	-1
4	611	-1
4	645	-1
4	650	1
4	659	-1
5	30	1
5	54	1
5	61	1
5	6	1
5	38	1
5	8	1
5	33	1
5	93	1
5	10	1
5	130	1
5	147	1
5	50	1
5	153	1
5	89	1
5	163	1
5	167	1
5	168	1
5	127	1
5	23	1
5	175	1
5	299	1
5	75	-1
5	55	1
6	30	1
6	54	1
6	61	1
6	38	1
6	8	1
6	33	1
6	93	1
6	10	1
6	130	1
6	147	1
6	50	1
6	153	-1
6	89	1
6	163	1
6	167	-1
6	168	1
6	127	1
6	23	1
6	154	1
6	183	1
6	216	1
6	219	1
6	28	1
6	250	1
6	252	1
6	257	1
6	261	1
6	271	1
6	273	1
6	274	1
6	132	1
6	19	1
6	286	1
6	34	1
6	300	1
6	301	1
6	3	1
6	322	1
6	80	1
6	94	-1
6	135	1
6	348	1
6	349	1
6	356	1
6	358	1
6	359	-1
6	339	1
6	258	1
6	363	1
6	370	1
6	362	1
6	373	1
6	377	1
6	378	1
6	379	1
6	243	1
6	390	1
6	391	1
6	392	1
6	394	1
6	396	1
6	402	1
6	415	1
6	226	1
6	140	1
6	421	1
6	422	1
6	427	1
6	428	-1
6	431	1
6	433	1
6	435	1
6	232	1
6	178	1
6	8282	1
6	538	1
6	55	1
6	560	1
6	236	1
6	440	1
6	566	1
6	567	1
6	182	1
6	581	1
6	56	1
6	564	1
6	371	1
6	584	1
6	586	1
6	589	1
6	590	1
6	592	1
6	39	1
6	151	1
6	604	1
6	405	1
6	280	1
6	609	1
6	611	1
6	613	1
6	616	-1
6	617	1
6	619	-1
6	175	-1
6	656	1
6	659	1
6	668	1
6	306	1
6	694	-1
6	325	1
6	406	1
6	319	1
6	700	1
6	739	1
6	765	-1
6	600	1
6	549	1
6	779	1
6	407	-1
6	723	1
6	798	1
6	673	1
6	802	1
6	857	1
6	881	1
6	730	1
6	741	-1
6	885	1
6	643	1
6	863	1
6	893	1
6	895	1
6	897	1
6	228	1
6	906	-1
6	733	1
6	439	1
6	86	1
6	932	1
6	936	1
6	955	-1
6	29	1
6	966	1
6	972	1
6	979	-1
6	983	-1
6	704	1
6	991	1
6	995	1
6	820	1
6	789	1
6	1007	1
6	304	1
6	447	1
6	1014	-1
6	1026	1
6	1043	1
6	1125	1
6	1152	1
6	1156	1
6	1144	1
6	1218	1
6	1220	1
6	1222	1
6	922	1
6	1160	-1
6	171	-1
6	1062	1
6	1241	1
6	1221	1
6	545	-1
6	791	-1
