FromNodeId	ToNodeId	Sign
3	30	1
3	54	1
3	214	1
3	28	1
3	286	1
3	300	1
3	348	1
3	349	1
3	178	1
3	8283	1
3	108	1
3	567	1
3	152	1
3	182	1
3	581	1
3	371	1
3	584	1
3	586	1
3	590	1
3	39	1
3	604	1
3	611	1
3	271	1
25	30	-1
25	54	1
25	6	-1
25	8	-1
25	33	1
25	50	1
25	127	-1
25	23	1
25	154	-1
25	214	-1
25	28	1
25	252	1
25	257	-1
25	261	-1
25	271	1
25	273	-1
25	19	-1
25	286	-1
25	299	1
25	300	-1
25	3	-1
25	302	-1
25	322	-1
25	80	1
25	94	-1
25	348	1
25	349	-1
25	356	1
25	358	-1
25	339	1
25	363	1
25	370	1
25	373	1
25	377	1
25	379	1
25	415	-1
25	226	1
25	422	1
25	428	-1
25	8282	1
25	192	-1
25	8284	-1
25	514	-1
25	75	1
25	55	1
25	560	1
25	282	-1
25	152	1
25	182	1
25	371	1
25	590	1
25	592	1
25	604	1
25	280	1
25	611	-1
25	224	1
25	645	-1
25	650	1
25	255	1
25	664	-1
25	667	1
25	675	1
25	310	1
25	306	1
25	325	1
25	739	1
25	246	1
25	756	-1
25	706	1
25	600	1
25	549	1
25	407	1
25	723	1
25	673	1
25	659	1
25	308	1
25	864	1
